"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons","Collection methods","Prediction methods","Study region","Time period","Vegetation grouping","General conclusions","Interactions with fauna,"
1843975,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Historical biogeography of the short-faced scorpionflies (Insecta: Mecoptera: Panorpodidae)","Aim: Panorpodidae is a species-poor family of Mecoptera, containing only 13 species in its two genera, Panorpodes and Brachypanorpa. They are found disjunctly in eastern Asia and North America, and this distribution has been deeply affected by the region's complex geological and climatic history. We calculate a time-calibrated molecular phylogeny and use it to reconstruct the historical biogeography of the Panorpodidae, in order to explore the family's phylogenetic origin and the biogeographical process that resulted in the present disjunct distribution. Location: Eastern Asia and North America. Methods: Sequence data from mitochondrial (COI and COII) and nuclear DNA (28S and EF-1α) were assembled from eight ingroup species. A phylogeny was reconstructed using maximum-likelihood analysis and Bayesian inference, and divergence times were estimated using fossil-calibrated Bayesian analysis. Ancestral areas were reconstructed with rasp 3.02, implementing dispersal–vicariance analysis, dispersal–extinction–cladogenesis and Bayesian binary MCMC. Results: The initial diversification of Panorpodidae occurred during the Ypresian (c. 53.9 Ma). A wide ancestral distribution in eastern Asia and western North America was inferred from the biogeographical analyses. The original range of Panorpodes across eastern Asia and western North America was fragmented by intercontinental vicariance. The genus Brachypanorpa was initially restricted to western North America and subsequently dispersed into eastern regions of North America. Main conclusions: Two alternative biogeographical patterns were recovered. Either Panorpodidae was restricted to western North America in the Eocene and subsequently dispersed into eastern Asia or – more reasonably – it was widely distributed in western North America, eastern Asia and Europe during the Eocene. Our biogeographical reconstructions corroborate the significant role of vicariance in shaping the current eastern Asian and North American disjunction in Panorpodes. The geographical separation of western and eastern North American Brachypanorpa species is likely to have resulted from the uplift of the Rocky Mountains and the emergence of grassland biomes in central North America. © 2016 John Wiley & Sons Ltd","Hu, G.-L.; Hua, B.-Z.","","43",2016,"Brachypanorpa; Panorpodes; disjunct distribution; molecular dating; phylogeny; vicariance","","","","","","","","",""
1843976,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Beetle records | Postglacial North America","In recent decades, studies of postglacial fossil beetle assemblages have been carried out in many regions of North America. The fossil beetle record from most parts of North America indicates a relatively smooth transition from glacial to interglacial climates, beginning about 17 kya. With the exception of Maritime Canada, most North American paleotemperature reconstructions based on beetles show no climatic reversals during the late glacial interval (17-11 kya). Most early postglacial beetle faunas from eastern and central North America are indicative of climatic regimes close to modern parameters. Exceptions to this include sites that were located in close proximity to large bodies of glacial meltwater. Studies of late Holocene assemblages come mostly from western North America. Rocky Mountain beetle faunas are indicative of summer temperatures above modern levels and winter temperatures below modern levels, from 11 kya until about 3.2 kya. These long-term trends were followed by a series of small-scale oscillations in the late Holocene. The best-studied desert region has been the Chihuahuan Desert. Here, the shift from cool glacial to warm and dry postglacial climates began by 14.7 kya. By about 8.4 kya, the dominance of xeric species indicates establishment of desert environments, including desert grasslands, throughout the Chihuahuan Desert region. The Sonoron Desert beetle faunas indicate only small-scale changes in regional climate during the late Pleistocene and Holocene. © 2007 Elsevier B.V. All rights reserved.","Elias, S.A.","","",2006,"Beetles; Coleoptera; Environmental archeology; Holocene; Insects; North America; Paleoclimate; Paleoecology; postglacial","","","","","","","","",""
1843977,"duplicate","not_screened","not_screened","not_started","database","scopus","","Postglacial North America","In recent decades, studies of postglacial fossil beetle assemblages have been carried out in many regions of North America. The fossil beetle record from most parts of North America indicates a relatively smooth transition from glacial to interglacial climates, beginning about 17. kya. With the exception of Maritime Canada, most North American paleotemperature reconstructions based on beetles show no climatic reversals during the Late Glacial interval (17-11. kya). Most early postglacial beetle faunas from eastern and central North America are indicative of climatic regimes close to modern parameters. Exceptions to this include sites that were located in close proximity to large bodies of glacial meltwater. Studies of late Holocene assemblages come mostly from western North America. Rocky Mountain beetle faunas are indicative of summer temperatures above modern levels and winter temperatures below modern levels, from 11. kya until about 3.2. kya. These long-term trends were followed by a series of small-scale oscillations in the late Holocene. The best-studied desert region has been the Chihuahuan Desert. Here, the shift from cool glacial to warm and dry postglacial climates began by 14.7. kya. By about 8.4. kya, the dominance of xeric species indicates establishment of desert environments, including desert grasslands, throughout the Chihuahuan Desert region. The Sonoron Desert beetle faunas indicate only small-scale changes in regional climate during the late Pleistocene and Holocene. © 2013 Elsevier B.V. All rights reserved.","Elias, S.A.","","",2013,"Beetles; Coleoptera; Environmental Archaeology; Holocene; Insects; North America; Paleoclimate; Paleoecology; Postglacial","","","","","","","","",""
1843978,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Species delimitation and description of mesocriconema nebraskense n. Sp. (Nematoda: Criconematidae), a morphologically cryptic, parthenogenetic species from North American Grasslands","Nematode surveys of North American grasslands conducted from 2010 to 2015 frequently recovered a species of criconematid nematode morphologically resembling Mesocriconema curvatum. These specimens were recovered from remnant native prairies in the central tallgrass ecoregion of North America, and not from surrounding agroecosystems. Historical records indicate that M. curvatum is a cosmopolitan species feeding on a wide range of agronomic and native plants. DNA barcoding indicates North American grasslands contain at least 10 phylogenetically distinct lineages of Mesocriconema that resemble, but are not, M. curvatum. Analysis of the two most common lineages reveals two distinctly different population structures. The variation in population structure suggests unique evolutionary histories associated with their diversification. These two major lineages share a sympatric distribution and their slight morphological differences contrast with a high level of genetic separation. Based on their genetic divergence, fixed diagnostic nucleotides, population structure, species delimitation metrics, and a sympatric distribution, we believe that one of these distinct lineages warrants formal nomenclatural recognition. Herein, we provide formal recognition for Mesocriconema nebraskense n. Sp. and discuss its relationship to other Mesocriconema lineages discovered in native North American grasslands. © The Society of Nematologists 2017.","Harris, T.; Higgins, R.; Mullin, P.; Olson, M.; Olson, S.; Powers, K.; Powers, T.O.","","49",2017,"Biogeography; Cryptic species; Nematode distribution; Network analysis; Phylogeny.; Plant-parasitic nematodes; Tallgrass prairies; Taxonomy","","","","","","","","",""
1843979,"not_duplicate","excluded","not_screened","not_started","database","scopus","","History of grassland birds in eastern North America","Until recently the severe decline in the populations of many species of grassland birds in eastern North America has aroused relatively little concern or conservation action. This response appears to be rooted in the perception that grassland birds invaded the East Coast from western grasslands after European settlers cleared the forest. Detailed historical accounts and analysis of pollen deposits, however, show that open grasslands existed on the East Coast of North America at the time of European settlement. Extensive grasslands resulted from burning and agricultural clearing by Native Americans. Natural disturbances, such as wildfire and beaver (Castor canadensis) activity, produced grasslands even before Native Americans cleared the forest. The presence of specialized grassland birds in Pleistocene deposits and in the earliest ornithological collections from eastern North America, and the existence of distinctive eastern populations of the Greater Prairie-Chicken (Tympanuchus cupido), Henslow's Sparrow (Ammodramus henslowii), and Savannah Sparrow (Passerculus sandwichensis), indicate that grassland birds are an ancient component of biological diversity on the heavily forested East Coast of North America.","Askins, R.A.","","",1999,"Beaver; Bird populations; Disturbance; Eastern grasslands; Grassland birds","","","","","","","","",""
1843980,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Paleobiogeography of Miocene Equinae of North America: A phylogenetic biogeographic analysis of the relative roles of climate, vicariance, and dispersal","The horse subfamily Equinae underwent a major radiation during the Miocene in North America, diversifying from one species, Parahippus leonensis, to 70 species. This radiation has been linked to climatic and vegetation changes that occurred in North America during this time. However, the relationship between climate change and speciation has not previously been studied quantitatively using phylogenetic biogeography. Distribution and age-range data were collected for all North American species within eighteen equine genera through a literature review and use of the Paleobiology Database. Fitch parsimony analysis of the taxon-area cladogram indicate that speciation by dispersal (Allopatry model II) was more common in the evolution of the clade than speciation by vicariance (Allopatry model I). Distribution data were analyzed using the Lieberman-modified Brooks Parsimony Analysis (LBPA) to determine patterns of vicariance and geodispersal, using four constrained biogeographic regions within North America in the analysis: the Great Plains, the Southwest, the Gulf Coast and the Southeast. Resulting general area cladograms are congruent with geological events, such as uplift of the Rocky Mountains, and climatic conditions, such as the change from a warm and moist to cool and arid climate during the Miocene. Well supported vicariance and geodispersal trees derived from the LBPA analysis are largely congruent with each other, indicating that cyclical events, in particular, climate change during the Miocene influenced the radiation of the clade. © 2008 Elsevier B.V. All rights reserved.","Maguire, K.C.; Stigall, A.L.","","267",2008,"Climate Change; Geodispersal; Great Plains Grassland; Neogene; Radiation","","","","","","","","",""
1843981,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Invasion history of North American Canada thistle, Cirsium arvense","Aim Canada thistle (Cirsium arvense- Cardueae, Asteraceae) is one of the worst invasive plants world-wide. Native to Eurasia, its unintentional introduction into North America now threatens the native flora and is responsible for enormous agricultural losses. The goals of this study are to: (1) reconstruct the evolutionary history of C. arvense and estimate how often it may have colonized North America, (2) compare the genetic diversity between European and North American populations to detect signs of demographic bottlenecks and/or patterns of population admixture, and (3) conduct bioclimatic comparisons to infer eventual niche shifts following this species' introduction into North America. Location Europe and North America. Methods A total of 1522 individuals from 58 populations were investigated with six microsatellite markers. Estimates of heterozygosity (H E) and allelic richness (R S) were quantified for each population, and population structure was inferred via analyses of molecular variance (AMOVAs), principal components analyses (PCAs), Mantel tests and Bayesian clustering analyses. Climatic niche spaces were based on 19 bioclimatic variables extracted from approximately 32,000 locations covering the entire range, and compared using PCA and hierarchical cluster analysis. Results Although there is evidence of multiple introductions from divergent European lineages, North American populations of C. arvense exhibited significantly lower levels of genetic diversity than their putative ancestors. Bioclimatic comparisons pointed to a high degree of niche conservatism during invasion, but indicated that genotypes from the former USSR and Central European mountain chains were probably best adapted to invade North America upon entry into the continent. Main conclusions Genetic and historical data suggest that C. arvense first entered North America from Western Europe with the first European settlers, and was later introduced from Eastern Europe into the prairie states during the agricultural boom. The species went through a significant bottleneck following its introduction into the New World, but the level of genetic diversity remained high owing to admixture between genetically differentiated lineages and to a highly efficient outcrossing breeding system. © 2012 Blackwell Publishing Ltd.","Anderson, J.V.; Foley, M.E.; Guggisberg, A.; Horvath, D.P.; Rieseberg, L.H.; Sforza, R.; Welk, E.","","39",2012,"Adaptation; Asteraceae; Bioclimatic niche modelling; Cirsium arvense; Colonization history; Compositae; Genetic bottleneck; Invasive plant; Multiple introductions; Phylogeography","","","","","","","","",""
1843982,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Stable isotopes and diets of Pleistocene horses from southern North America and South America: similarities and differences","The diet and habitat for two Pleistocene Equidae genera that lived in southern North America (southern USA and Mexico) and South America are inferred using carbon and oxygen isotopic data. The South American Hippidion fed upon C3 plants and lived in forest. Equus from both subcontinents were mixed feeders and preferred living in grasslands, prairies, and savannas, while some individuals or populations specialised in consumption of C3 or C4 plants. These results indicate that Equus were generalist in their diet and habitat, while Hippidion were specialists on both traits. © 2018, Senckenberg Gesellschaft für Naturforschung and Springer-Verlag GmbH Germany, part of Springer Nature.","Alberdi, M.T.; Arroyo-Cabrales, J.; Prado, J.L.; Pérez-Crespo, V.A.","","98",2018,"Equus; Hippidion; North and South America; Stable isotopes","","","","","","","","",""
1843983,"not_duplicate","included","not_screened","not_started","database","scopus","","Native Americans, Ecosystem Development, and Historical Range of Variation","","Lake, F.K.; MacCleery, D.W.; Nowacki, G.J.","","",2012,"Burning practices by diverse tribal groups, across the Pacific Northwest; Human-modified landscapes, human impact in concentric rings; Megafaunal extinction at the hands of humans; Native Americans and HRV, indigenous in ecosystem dynamics; Native Americans, ecosystem development, and HRV; North America, fire- and weapon-toting humans, megaherbivory to human-based; North American ecosystems reorganized with human arrival, the Holocene Epoch; North American ecosystems today, and human effects on past ecosystems; Post-megafauna world, trajectories different from interglacial period; Rapid change in grassland/oak vegetation, coinciding with European settlement","","","","","","","","",""
1843984,"not_duplicate","excluded","not_screened","not_started","database","scopus","","Assembly of Alaska-Yukon boreal steppe communities: Testing biogeographic hypotheses via modern ecological distributions","Beringia (eastern Asia, Alaska, northwest Canada) has been a land-bridge dispersal route between Asia and North America intermittently since the Mesozoic Era. The Quaternary, the most recent period of exchange, is characterized by large, geologically rapid climate fluctuations and sea-level changes that alternately expose and inundate the land-bridge region. Insights into how Quaternary land-bridge geography has controlled species exchange and assembly of the North American flora comes from focusing on a restricted community with narrow ecological tolerances: species that are today restricted to isolated steppe habitats (dry grasslands) in the Subarctic. We evaluated (i) potential controls over current spatial distributions of steppe plants and their pollinators in Alaska and Yukon and (ii) their ecological distributions in relation to potential biogeographic histories. Taxa present in North America that are disjunct from Asia tended to have larger altitudinal ranges (tolerating colder temperatures) than taxa disjunct from farther south in North America, which were largely restricted to the warmest, lowest-elevation sites. Ecological findings support the following biogeographic scenarios. Migration from Asia via the land-bridge occurred during Quaternary glacial periods when conditions were colder and drier than today. While a corridor for migration of cold-tolerant species of cold steppe and tundra, the land bridge acted as a filter that excluded warmth-demanding species. Migration from North America occurred under warm, dry interglacial conditions; thermophilous North American disjuncts taking this route may have long histories in Beringia, or they may have migrated recently during the relatively warm and dry early Holocene, when forest cover was incomplete. © 2018 Institute of Botany, Chinese Academy of Sciences","Armbruster, W.S.; Edwards, M.E.; Lloyd, A.","","56",2018,"Alaska; Beringia; Quaternary environments; altitudinal range; relict distributions; steppe; subarctic; thermal range","","","","","","","","",""
